"Ref Calipso","","","","","","","","","Sex","Sise","",""
"Ordn","Gr","Sg","S","Sx","Nombre Comercial","","Nombre Cientifico","","Sex","Sise","$Bruto","$Bruto"
"MOLUSCOS","","","","","","","","","","","",""
"1200","05","19","4","3","Bailarina","Telescopio Negra Ryunki","Carassius","auratus","N","#4","  3,400 ","  3,740.0 "
"1200","05","19","4","3","Bailarina","Telescopio Negra Ryunki","Carassius","auratus","N","#5","  4,600 ","  5,060.0 "
"1200","05","19","2","3","Bailarina ","Cálica","Carassius","auratus","N","#2","  2,200 ","  2,420.0 "
"1200","05","19","3","3","Bailarina","Cálica","Carassius","auratus","N","#3","  2,450 ","  2,695.0 "
"1200","05","19","4","3","Bailarina","Cálica","Carassius","auratus","N","#4","  3,400 ","  3,740.0 "
"1200","05","19","4","3","Bailarina","Cálica","Carassius","auratus","N","#5","  4,600 ","  5,060.0 "
"1200","10","20","10","3","Carpa Koi","Comun","Cyprinus ","Carpio","N","10cm","  20,000 ","  22,000.0 "
"1200","10","20","15","3","Carpa Koi","Comun","Cyprinus ","Carpio","N","15cm","  28,000 ","  30,800.0 "
"1200","10","20","20","3","Carpa Koi","Comun","Cyprinus ","Carpio","N","20cm","  35,000 ","  38,500.0 "
"1200","10","21","10","3","Carpa Koi","Amarilla","Cyprinus ","Carpio","N","10cm","  25,000 ","  27,500.0 "
"1200","10","21","15","3","Carpa Koi","Amarilla","Cyprinus ","Carpio","N","15cm","  35,000 ","  38,500.0 "
"1200","10","21","20","3","Carpa Koi","Amarilla","Cyprinus ","Carpio","N","20cm","  45,000 ","  49,500.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#2","  1,400 ","  1,540.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#3","  1,600 ","  1,760.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#4","  2,550 ","  2,805.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#5","  3,400 ","  3,740.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#6","  4,500 ","  4,950.0 "
"1200","10","32","2","3","Goldfish","Varios Plus ","Carassius","Auratus","N","#7","  5,600 ","  6,160.0 "
